folder,ArtFID,FID,LPIPS,CFSD,Iterations,Time HH:MM:SS,Iterations/s
Early_Stopping_Delta_1_Patience_8,25.717,16.431,0.475,0.252,10000,03:41:08,0.754
Early_Stopping_Delta_05_Patience_16,26.856,17.368,0.462,0.238,6250,01:56:02,0.898
Early_Stopping_Delta_5_Patience_5,26.289,16.560,0.497,0.258,3250,01:03:37,0.851
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW18_silu_bat1,25.874,16.511,0.478,0.255,5500,02:01:33,0.754
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW20_silu_bat1,25.903,16.193,0.507,0.268,4500,01:23:58,0.893
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW16_silu_bat1,24.818,15.465,0.507,0.278,4250,01:19:09,0.895
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW12_silu_bat1,25.120,15.911,0.485,0.257,7750,02:52:07,0.750
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW14_silu_bat1,24.325,15.360,0.487,0.264,5000,01:33:04,0.895
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_hd0.5-0.1-0.1_ssim1_ssimW10_silu_bat1,24.933,16.096,0.458,0.234,6750,02:04:21,0.905
ps8_lr2e-04_bs8_it5k_id1_es0_hb0_hd0.5-0.1-0.1_ssim0_ssimW2_silu_bat1,24.975,15.577,0.507,0.272,5000,01:50:30,0.754
ps8_lr2e-04_bs8_it5k_id1_es0_hb0_hd0.5-0.1-0.1_ssim0_ssimW2_silu_bat0,25.631,16.272,0.484,0.258,5000,01:33:01,0.896
ps8_lr2e-04_bs4_it5k_id1_es0_hb0_hd0.5-0.1-0.1_ssim0_ssimW2_silu_bat1,27.581,17.315,0.506,0.262,5000,00:55:37,1.498
ps8_lr2e-04_bs8_it5k_id1_es1_hb0_hd0.5-0.25-0.5_ssim0_ssimW2_silu_bat1,25.946,16.302,0.500,0.270,5000,01:50:40,0.753
ps8_lr2e-04_bs4_it5k_id1_es0_hb0_hd0.5-0.1-0.1_ssim0_ssimW2_silu_bat0,25.729,16.233,0.493,0.262,5000,00:46:29,1.792
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd0.5-0.25-0.5_ssim0_ssimW2_silu_bat1,24.854,16.244,0.441,0.226,5000,01:32:47,0.898
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd1.0-0.5-1.0_ssim0_ssimW2_silu_bat1,23.753,15.221,0.464,0.238,5000,01:50:26,0.755
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd2.5-1.0-2.5_ssim0_ssimW2_silu_bat1,24.997,16.051,0.466,0.232,5000,01:32:39,0.899
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd0.1-0.1-0.1_ssim0_ssimW2_silu_bat1,24.710,15.721,0.478,0.248,5000,01:50:24,0.755
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd0.25-0.25-0.25_ssim0_ssimW2_silu_bat1,24.202,14.601,0.551,0.277,5000,01:32:31,0.901
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd0.5-0.5-0.5_ssim0_ssimW2_silu_bat1,25.270,15.219,0.558,0.289,5000,01:50:05,0.757
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd1.0-1.0-1.0_ssim0_ssimW2_silu_bat1,24.645,15.159,0.525,0.278,5000,01:32:41,0.899
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd5.0-5.0-5.0_ssim0_ssimW2_silu_bat1,24.540,15.530,0.485,0.244,5000,01:49:36,0.760
ps8_lr2e-04_bs8_it5k_id1_es1_hb1_hd10.0-10.0-10.0_ssim0_ssimW2_silu_bat1,24.596,15.611,0.481,0.243,5000,01:49:28,0.761
baseline_ps8_lr2e-04_bs8_it10k_id1_es0_hb0_ssim0_ssim_w2_silu,25.469,16.491,0.456,0.244,10000,01:39:08,1.681
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim0_ssim_w2_silu,27.958,17.967,0.474,0.252,1500,00:26:16,0.952
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2_relu,25.976,16.452,0.488,0.252,5500,00:45:06,2.032
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2_tanh,26.526,17.062,0.469,0.246,7250,00:59:26,2.033
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2_tanhshrink,25.250,16.041,0.482,0.252,5750,00:57:01,1.681
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2_softsign,26.381,16.996,0.466,0.244,5250,00:52:16,1.674
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2_silu,25.301,15.820,0.504,0.260,5500,00:54:28,1.683
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2,25.291,15.885,0.498,0.261,5500,00:45:16,2.025
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim1_ssim_w8,24.369,15.429,0.483,0.264,7500,01:14:37,1.675
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim1_ssim_w6,24.826,15.926,0.467,0.252,6750,00:55:42,2.019
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim1_ssim_w4,24.859,15.774,0.482,0.256,5000,00:49:42,1.676
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim1_ssim_w2,25.154,15.889,0.489,0.261,3500,00:28:54,2.018
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim0_ssim_w2,28.666,18.764,0.450,0.238,1500,00:12:25,2.013
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim1_ssim_w6,25.940,15.722,0.551,0.289,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim1_ssim_w2,26.206,15.822,0.558,0.297,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim0_ssim_w3,28.646,16.949,0.596,0.315,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w3,27.483,17.233,0.507,0.260,,,
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,90.783,43.911,1.021,0.331,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb1_ssim1_ssim_w4,26.351,15.828,0.566,0.310,,,
ps8_lr2e-04_bs8_it10k_id1_es1_hb1_ssim0_ssim_w2,26.526,15.364,0.621,0.343,,,
ps8_lr2e-04_bs8_it10k_id1_es0_hb1_ssim0_ssim_w2,25.263,15.329,0.547,0.304,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssim_w2,26.763,15.871,0.586,0.314,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,26.676,16.182,0.553,0.295,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb0_ssim0_ssimW2,25.135,16.062,0.473,0.257,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,91.886,45.402,0.980,0.331,,,
ps8_lr2e-04_bs8_it4k_id1_es0_hb1_ssim0_ssimW2,25.471,17.352,0.388,0.198,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssimW2,27.574,17.201,0.515,0.269,,,
ps8_lr2e-04_bs8_it50k_id1_es1_hb0_ssim0_ssim_w2,70.582,33.987,1.017,0.333,,,
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,27.397,16.100,0.602,0.362,,,
ps8_lr2e-04_bs8_it50k_id0_es1_hb0_ssim0_ssim_w2,30.083,17.189,0.654,0.371,,,
